transaction_id,timestamp,num_items,total_amount,payment_type
100059,2025-04-01 17:30:30,1,7.8,Credit Card
100060,2025-04-01 08:18:53,2,8.71,Mobile Pay
100061,2025-04-01 09:53:49,2,7.67,Debit Card
100062,2025-04-01 02:19:39,4,18.46,Debit Card
100063,2025-04-01 02:46:19,2,8.35,Debit Card
100064,2025-04-01 13:19:53,4,20.08,Cash
100065,2025-04-01 11:59:03,3,13.05,Credit Card
100066,2025-04-01 08:59:16,2,7.76,Cash
100067,2025-04-01 20:51:35,2,9.63,Credit Card
100068,2025-04-01 01:10:45,4,20.79,Credit Card
100069,2025-04-01 10:57:02,2,9.87,Credit Card
100070,2025-04-01 05:25:33,1,6.08,Mobile Pay
100071,2025-04-01 01:31:04,2,12.43,Cash
100072,2025-04-01 05:46:18,4,20.95,Cash
100073,2025-04-01 16:07:55,1,3.57,Cash
100074,2025-04-01 20:54:34,1,6.09,Cash
100075,2025-04-01 07:20:04,3,14.37,Cash
100076,2025-04-01 15:03:33,4,20.43,Credit Card
100077,2025-04-01 22:27:22,2,10.5,Cash
100078,2025-04-01 03:56:13,3,9.9,Mobile Pay
100079,2025-04-01 20:26:55,4,20.24,Debit Card
100080,2025-04-01 13:25:12,2,9.61,Cash
100081,2025-04-01 23:15:52,3,18.03,Cash
100082,2025-04-01 13:59:40,4,17.05,Credit Card
100083,2025-04-01 22:02:00,3,15.96,Credit Card
100084,2025-04-01 16:56:32,4,16.73,Debit Card
100085,2025-04-01 05:36:39,1,6.34,Cash
100086,2025-04-01 17:42:32,4,18.56,Credit Card
100087,2025-04-01 04:58:27,4,19.13,Cash
100088,2025-04-01 01:57:42,2,6.62,Mobile Pay
100089,2025-04-01 21:11:34,1,3.41,Cash
100090,2025-04-01 06:01:14,1,4.16,Credit Card
100091,2025-04-01 17:25:56,2,9.83,Cash
100092,2025-04-01 10:53:34,2,11.39,Mobile Pay
100093,2025-04-01 13:19:30,4,15.73,Credit Card
100094,2025-04-01 01:22:36,3,11.28,Credit Card
100095,2025-04-01 05:51:48,1,6.02,Credit Card
100096,2025-04-01 18:35:09,4,22.0,Debit Card
100097,2025-04-01 13:39:10,3,20.96,Mobile Pay
100098,2025-04-01 11:58:24,1,5.12,Credit Card
100099,2025-04-01 05:01:04,1,7.23,Debit Card
100100,2025-04-01 04:39:00,2,9.2,Credit Card
100101,2025-04-01 16:27:00,1,3.96,Credit Card
100102,2025-04-01 13:58:59,3,13.21,Credit Card
100103,2025-04-01 03:28:44,1,7.35,Mobile Pay
100104,2025-04-01 09:41:00,1,4.39,Credit Card
100105,2025-04-01 07:15:31,1,6.62,Cash
100106,2025-04-01 00:26:11,4,18.78,Mobile Pay
100107,2025-04-01 01:34:59,4,21.44,Debit Card
100108,2025-04-01 07:26:28,2,6.75,Credit Card
100109,2025-04-01 06:03:29,1,2.48,Mobile Pay
100110,2025-04-01 11:12:10,3,13.36,Debit Card
100111,2025-04-01 15:00:33,3,16.86,Mobile Pay
100112,2025-04-01 12:20:17,2,8.9,Debit Card
100113,2025-04-01 00:11:21,2,7.84,Credit Card
100114,2025-04-01 14:26:21,3,18.53,Credit Card
100115,2025-04-01 22:36:48,1,2.22,Cash
100116,2025-04-01 17:08:14,4,17.99,Debit Card
100117,2025-04-01 19:16:54,2,12.49,Debit Card
100118,2025-04-01 01:29:49,3,20.65,Credit Card
100119,2025-04-01 10:12:33,3,14.31,Debit Card
100120,2025-04-01 03:05:07,3,18.49,Credit Card
100121,2025-04-01 08:01:49,1,5.78,Cash
100122,2025-04-01 14:29:20,2,11.29,Mobile Pay
100123,2025-04-01 00:54:48,4,18.52,Cash
100124,2025-04-01 05:38:54,4,17.88,Mobile Pay
100125,2025-04-01 03:39:07,3,17.2,Debit Card
100126,2025-04-01 23:24:17,2,6.08,Debit Card
100127,2025-04-01 20:34:07,1,5.37,Credit Card
100128,2025-04-01 09:20:23,1,4.51,Cash
100129,2025-04-01 22:48:05,4,23.02,Mobile Pay
100130,2025-04-01 13:05:05,1,7.11,Credit Card
100131,2025-04-01 21:27:05,1,2.55,Debit Card
100132,2025-04-01 23:39:58,3,19.95,Cash
100133,2025-04-01 18:13:13,1,4.69,Cash
100134,2025-04-01 04:20:04,2,11.18,Debit Card
100135,2025-04-01 11:29:39,1,3.51,Debit Card
100136,2025-04-01 09:51:19,3,11.67,Cash
100137,2025-04-01 00:51:33,4,24.75,Mobile Pay
100138,2025-04-01 15:56:44,2,6.47,Credit Card
100139,2025-04-01 03:07:41,4,22.28,Mobile Pay
100140,2025-04-01 10:10:15,4,19.05,Debit Card
100141,2025-04-01 03:52:48,4,13.58,Debit Card
100142,2025-04-01 06:21:25,2,8.49,Credit Card
100143,2025-04-01 08:51:19,4,22.11,Debit Card
100144,2025-04-01 02:22:06,3,14.46,Credit Card
100145,2025-04-01 00:36:35,1,5.26,Debit Card
100146,2025-04-01 00:34:59,4,20.01,Cash
100147,2025-04-01 06:52:01,3,14.33,Mobile Pay
100148,2025-04-01 22:19:26,4,25.2,Debit Card
100149,2025-04-01 01:28:58,4,20.13,Debit Card
100150,2025-04-01 15:12:27,1,7.21,Cash
100151,2025-04-01 12:41:59,4,13.56,Mobile Pay
100152,2025-04-01 23:50:47,3,12.92,Debit Card
100153,2025-04-01 02:02:10,4,17.23,Mobile Pay
100154,2025-04-01 03:39:21,4,19.7,Cash
100155,2025-04-01 01:17:29,3,21.38,Cash
100156,2025-04-01 00:09:49,4,22.39,Credit Card
100157,2025-04-01 00:35:04,3,14.22,Mobile Pay
100158,2025-04-01 22:11:06,4,18.7,Cash
100159,2025-04-01 03:52:13,1,2.28,Cash
100160,2025-04-01 07:28:46,3,10.97,Credit Card
100161,2025-04-01 20:19:00,3,10.99,Credit Card
100162,2025-04-01 21:00:46,1,5.02,Cash
100163,2025-04-01 20:06:28,1,5.39,Mobile Pay
100164,2025-04-01 14:56:41,4,20.75,Cash
100165,2025-04-01 20:39:11,1,5.1,Mobile Pay
100166,2025-04-01 17:33:40,3,13.54,Mobile Pay
100167,2025-04-01 03:49:13,1,5.34,Mobile Pay
100168,2025-04-01 03:50:43,1,5.87,Debit Card
100169,2025-04-01 01:04:47,3,11.02,Credit Card
100170,2025-04-01 07:19:08,3,15.41,Debit Card
100171,2025-04-01 07:12:27,2,7.11,Cash
100172,2025-04-01 00:55:22,2,14.96,Cash
100173,2025-04-01 14:28:19,1,3.81,Cash
100174,2025-04-01 04:24:34,2,10.25,Cash
100175,2025-04-01 16:45:25,4,13.7,Mobile Pay
100176,2025-04-01 11:25:21,4,15.58,Debit Card
100177,2025-04-01 00:32:08,4,19.33,Mobile Pay
100178,2025-04-01 07:52:12,2,9.1,Credit Card
100179,2025-04-01 03:35:16,2,7.28,Mobile Pay
100180,2025-04-01 09:40:11,2,7.75,Credit Card
100181,2025-04-01 10:56:50,4,17.1,Mobile Pay
100182,2025-04-01 21:23:51,2,11.54,Mobile Pay
100183,2025-04-01 16:50:02,4,19.12,Mobile Pay
100184,2025-04-01 13:08:15,4,23.88,Credit Card
100185,2025-04-01 00:21:55,1,4.42,Debit Card
100186,2025-04-01 10:34:13,4,19.7,Mobile Pay
100187,2025-04-01 04:21:44,3,12.97,Mobile Pay
100188,2025-04-01 14:16:03,2,6.37,Credit Card
100189,2025-04-01 15:31:44,1,6.77,Credit Card
100190,2025-04-01 22:20:42,4,16.52,Credit Card
100191,2025-04-01 18:05:58,4,20.17,Debit Card
100192,2025-04-01 00:46:42,3,16.32,Debit Card
100193,2025-04-01 12:04:01,4,16.9,Cash
100194,2025-04-01 19:08:59,4,17.4,Mobile Pay
100195,2025-04-01 22:40:06,4,21.51,Mobile Pay
100196,2025-04-01 22:40:12,4,23.7,Cash
100197,2025-04-01 05:47:26,4,20.46,Mobile Pay
100198,2025-04-01 01:12:15,1,3.31,Debit Card
100199,2025-04-01 09:15:49,3,15.42,Debit Card
100200,2025-04-01 19:08:41,4,20.21,Credit Card
100201,2025-04-01 17:10:09,4,17.96,Cash
100202,2025-04-01 14:52:50,4,19.23,Credit Card
100203,2025-04-01 09:19:01,2,8.16,Mobile Pay
100204,2025-04-01 05:23:23,1,3.93,Cash
100205,2025-04-01 04:07:18,1,5.12,Credit Card
100206,2025-04-01 10:36:53,1,7.46,Cash
100207,2025-04-01 21:43:44,4,18.49,Cash
100208,2025-04-01 10:06:18,3,12.69,Mobile Pay
100209,2025-04-01 23:37:18,4,19.32,Debit Card
100210,2025-04-01 02:47:43,2,10.19,Debit Card
100211,2025-04-01 01:54:40,4,17.4,Cash
100212,2025-04-01 07:56:01,3,14.83,Credit Card
100213,2025-04-01 00:09:20,2,9.54,Mobile Pay
100214,2025-04-01 14:15:42,4,15.65,Debit Card
100215,2025-04-01 05:32:57,3,17.72,Mobile Pay
100216,2025-04-01 13:58:52,1,4.52,Cash
100217,2025-04-01 12:00:22,1,2.22,Mobile Pay
100218,2025-04-01 12:13:05,2,10.32,Cash
100219,2025-04-01 02:33:28,1,3.42,Mobile Pay
100220,2025-04-01 12:04:23,3,16.54,Mobile Pay
100221,2025-04-01 13:13:37,2,7.3,Credit Card
100222,2025-04-01 23:11:20,4,17.33,Cash
100223,2025-04-01 17:34:19,4,15.31,Mobile Pay
100224,2025-04-01 13:45:39,3,14.54,Debit Card
100225,2025-04-01 03:57:22,1,6.91,Credit Card
100226,2025-04-01 21:04:15,1,4.14,Cash
100227,2025-04-01 12:33:20,3,13.08,Credit Card
100228,2025-04-01 19:50:15,2,8.99,Mobile Pay
100229,2025-04-01 13:50:25,3,17.9,Cash
100230,2025-04-01 00:52:32,1,6.49,Cash
100231,2025-04-01 00:34:47,2,12.57,Mobile Pay
100232,2025-04-01 05:34:11,4,19.39,Mobile Pay
100233,2025-04-01 23:29:44,3,20.04,Cash
100234,2025-04-01 00:51:07,2,11.83,Debit Card
100235,2025-04-01 00:21:33,1,4.22,Cash
100236,2025-04-01 14:16:02,4,20.13,Credit Card
100237,2025-04-01 07:32:25,3,9.26,Cash
100238,2025-04-01 19:22:23,1,3.39,Debit Card
100239,2025-04-01 14:21:35,1,4.29,Cash
100240,2025-04-01 10:01:31,4,22.36,Mobile Pay
100241,2025-04-01 05:41:07,3,12.87,Cash
100242,2025-04-01 20:18:27,4,14.59,Debit Card
100243,2025-04-01 01:19:31,3,17.45,Debit Card
100244,2025-04-01 17:24:18,4,24.24,Debit Card
100245,2025-04-01 04:05:50,1,2.25,Mobile Pay
100246,2025-04-01 15:43:26,4,25.74,Cash
100247,2025-04-01 13:21:15,3,11.88,Cash
100248,2025-04-01 15:44:29,4,21.87,Debit Card
100249,2025-04-01 07:59:46,4,20.54,Credit Card
100250,2025-04-01 02:38:48,1,3.28,Mobile Pay
100251,2025-04-01 05:41:12,4,23.29,Mobile Pay
100252,2025-04-01 02:27:37,1,4.22,Credit Card
100253,2025-04-01 00:58:57,1,3.08,Debit Card
100254,2025-04-01 22:31:10,4,18.74,Debit Card
100255,2025-04-01 09:00:14,3,16.05,Debit Card
100256,2025-04-01 06:24:28,2,11.03,Debit Card
100257,2025-04-01 17:52:22,3,14.34,Mobile Pay
100258,2025-04-01 23:48:13,1,7.89,Cash
100259,2025-04-01 18:37:51,4,19.86,Cash
100260,2025-04-01 20:33:05,3,15.96,Debit Card
100261,2025-04-01 17:07:47,4,15.51,Credit Card
100262,2025-04-01 17:10:22,3,11.84,Credit Card
100263,2025-04-01 06:53:18,1,2.69,Mobile Pay
100264,2025-04-01 14:52:06,3,13.44,Credit Card
100265,2025-04-01 01:28:24,1,6.86,Credit Card
100266,2025-04-01 16:11:10,4,24.93,Cash
100267,2025-04-01 18:09:41,2,10.49,Debit Card
100268,2025-04-01 14:39:18,2,11.17,Mobile Pay
100269,2025-04-01 22:55:37,2,8.62,Mobile Pay
100270,2025-04-01 09:13:14,1,7.88,Cash
100271,2025-04-01 21:37:46,1,7.58,Debit Card
100272,2025-04-01 18:59:27,2,10.29,Credit Card
100273,2025-04-01 18:28:43,2,11.48,Credit Card
100274,2025-04-01 19:43:32,3,11.86,Debit Card
100275,2025-04-01 22:20:15,2,13.57,Cash
100276,2025-04-01 18:44:32,2,12.14,Credit Card
100277,2025-04-01 20:19:08,3,16.58,Mobile Pay
100278,2025-04-01 18:14:32,1,2.3,Mobile Pay
100279,2025-04-01 19:56:54,2,12.41,Credit Card
100280,2025-04-01 10:30:30,1,4.89,Credit Card
100281,2025-04-01 02:43:24,1,3.65,Debit Card
100282,2025-04-01 00:59:35,2,11.47,Credit Card
100283,2025-04-01 02:31:12,3,14.94,Cash
100284,2025-04-01 10:16:25,2,10.33,Cash
100285,2025-04-01 17:48:56,4,18.92,Mobile Pay
100286,2025-04-01 05:26:13,2,7.95,Credit Card
100287,2025-04-01 07:15:30,2,11.34,Cash
100288,2025-04-01 01:42:13,1,4.48,Credit Card
100289,2025-04-01 10:19:16,2,9.49,Cash
100290,2025-04-01 07:16:06,4,17.12,Debit Card
100291,2025-04-01 07:17:05,4,24.07,Cash
100292,2025-04-01 15:01:22,1,4.73,Cash
100293,2025-04-01 23:04:26,3,16.21,Mobile Pay
100294,2025-04-01 06:08:26,3,14.09,Cash
100295,2025-04-01 16:36:55,3,14.8,Mobile Pay
100296,2025-04-01 12:48:13,3,14.16,Debit Card
100297,2025-04-01 06:23:04,2,11.29,Debit Card
100298,2025-04-02 21:19:16,2,9.35,Credit Card
100299,2025-04-02 21:07:34,4,23.64,Cash
100300,2025-04-02 05:18:51,1,3.72,Credit Card
100301,2025-04-02 12:53:19,3,13.97,Mobile Pay
100302,2025-04-02 07:21:32,2,8.97,Debit Card
100303,2025-04-02 22:37:04,1,3.65,Debit Card
100304,2025-04-02 00:33:21,4,18.12,Credit Card
100305,2025-04-02 12:47:48,2,12.17,Cash
100306,2025-04-02 15:40:04,3,12.84,Mobile Pay
100307,2025-04-02 02:58:11,3,15.4,Debit Card
100308,2025-04-02 07:26:02,1,3.73,Mobile Pay
100309,2025-04-02 12:00:20,2,11.25,Debit Card
100310,2025-04-02 20:08:19,2,9.03,Cash
100311,2025-04-02 20:26:25,2,9.08,Debit Card
100312,2025-04-02 07:00:59,2,10.65,Mobile Pay
100313,2025-04-02 14:14:36,3,11.59,Debit Card
100314,2025-04-02 16:47:29,1,4.34,Credit Card
100315,2025-04-02 14:34:10,1,3.01,Cash
100316,2025-04-02 00:05:23,1,7.9,Credit Card
100317,2025-04-02 17:45:34,1,7.94,Debit Card
100318,2025-04-02 19:54:12,1,3.58,Credit Card
100319,2025-04-02 22:31:52,1,5.27,Debit Card
100320,2025-04-02 00:37:51,1,4.52,Credit Card
100321,2025-04-02 20:28:24,3,17.21,Mobile Pay
100322,2025-04-02 08:22:44,3,12.07,Cash
100323,2025-04-02 12:48:31,1,5.98,Cash
100324,2025-04-02 09:25:11,3,12.9,Credit Card
100325,2025-04-02 05:51:05,2,7.99,Debit Card
100326,2025-04-02 14:55:31,4,16.87,Debit Card
100327,2025-04-02 22:09:55,2,11.21,Mobile Pay
100328,2025-04-02 02:47:14,1,6.48,Debit Card
100329,2025-04-02 17:14:36,1,3.17,Credit Card
100330,2025-04-02 12:26:22,2,11.55,Credit Card
100331,2025-04-02 17:33:46,3,16.12,Credit Card
100332,2025-04-02 06:57:28,2,11.55,Credit Card
100333,2025-04-02 05:04:51,3,16.08,Credit Card
100334,2025-04-02 01:38:45,4,15.76,Debit Card
100335,2025-04-02 20:25:53,4,17.91,Credit Card
100336,2025-04-02 09:14:06,4,17.22,Cash
100337,2025-04-02 09:11:42,3,13.53,Cash
100338,2025-04-02 06:19:14,2,7.65,Credit Card
100339,2025-04-02 21:07:50,4,18.21,Cash
100340,2025-04-02 20:34:02,4,17.86,Cash
100341,2025-04-02 00:53:17,3,11.75,Cash
100342,2025-04-02 00:56:18,2,6.57,Cash
100343,2025-04-02 10:49:11,3,13.52,Debit Card
100344,2025-04-02 19:04:58,4,18.45,Debit Card
100345,2025-04-02 12:51:04,4,17.11,Mobile Pay
100346,2025-04-02 03:07:08,1,5.13,Cash
100347,2025-04-02 10:45:48,1,7.62,Cash
100348,2025-04-02 07:33:05,2,10.72,Debit Card
100349,2025-04-02 08:32:23,1,5.53,Debit Card
100350,2025-04-02 02:23:09,2,12.7,Debit Card
100351,2025-04-02 00:44:17,1,7.92,Mobile Pay
100352,2025-04-02 02:57:32,4,17.37,Debit Card
100353,2025-04-02 01:57:50,4,16.18,Mobile Pay
100354,2025-04-02 01:22:29,2,9.94,Debit Card
100355,2025-04-02 08:55:21,3,13.45,Mobile Pay
100356,2025-04-02 15:13:52,2,7.44,Debit Card
100357,2025-04-02 00:40:44,3,14.02,Debit Card
100358,2025-04-02 02:57:46,3,15.39,Mobile Pay
100359,2025-04-02 10:16:38,4,22.35,Cash
100360,2025-04-02 03:25:18,2,10.73,Credit Card
100361,2025-04-02 21:36:32,2,7.14,Cash
100362,2025-04-02 09:15:16,1,3.09,Credit Card
100363,2025-04-02 18:00:19,3,11.04,Cash
100364,2025-04-02 02:23:04,1,7.67,Debit Card
100365,2025-04-02 15:18:31,4,14.85,Credit Card
100366,2025-04-02 10:52:15,4,19.73,Mobile Pay
100367,2025-04-02 07:24:08,4,17.19,Mobile Pay
100368,2025-04-02 01:20:39,4,15.45,Cash
100369,2025-04-02 16:46:42,4,21.89,Cash
100370,2025-04-02 22:53:37,2,9.13,Debit Card
100371,2025-04-02 01:44:14,3,13.58,Mobile Pay
100372,2025-04-02 03:11:37,1,5.41,Cash
100373,2025-04-02 20:35:09,1,5.36,Mobile Pay
100374,2025-04-02 19:14:02,4,21.65,Credit Card
100375,2025-04-02 08:38:12,1,3.05,Mobile Pay
100376,2025-04-02 09:07:56,3,16.2,Cash
100377,2025-04-02 10:51:31,4,19.57,Mobile Pay
100378,2025-04-02 07:12:44,1,4.09,Cash
100379,2025-04-02 23:32:50,2,13.5,Debit Card
100380,2025-04-02 07:55:28,1,7.11,Cash
100381,2025-04-02 12:09:33,1,7.18,Credit Card
100382,2025-04-02 11:48:44,1,4.37,Mobile Pay
100383,2025-04-02 06:22:08,4,19.75,Credit Card
100384,2025-04-02 01:14:32,4,19.66,Credit Card
100385,2025-04-02 05:30:24,1,4.0,Mobile Pay
100386,2025-04-02 14:01:31,4,16.95,Cash
100387,2025-04-02 13:04:02,3,12.57,Credit Card
100388,2025-04-02 02:33:23,3,14.65,Mobile Pay
100389,2025-04-02 10:56:27,4,18.36,Cash
100390,2025-04-02 19:13:18,2,7.46,Debit Card
100391,2025-04-02 00:18:41,3,14.21,Cash
100392,2025-04-02 11:31:21,1,5.51,Credit Card
100393,2025-04-02 02:29:18,3,15.19,Debit Card
100394,2025-04-02 03:24:46,3,14.67,Debit Card
100395,2025-04-02 21:01:04,2,14.0,Debit Card
100396,2025-04-02 19:56:01,2,8.28,Cash
100397,2025-04-02 15:07:47,1,4.77,Credit Card
100398,2025-04-02 21:03:45,2,8.82,Mobile Pay
100399,2025-04-02 12:07:12,3,14.48,Debit Card
100400,2025-04-02 23:16:52,2,9.71,Cash
100401,2025-04-02 02:26:04,4,20.91,Debit Card
100402,2025-04-02 17:38:49,1,3.71,Debit Card
100403,2025-04-02 02:17:07,1,7.88,Mobile Pay
100404,2025-04-02 15:31:35,1,3.51,Debit Card
100405,2025-04-02 10:27:50,1,2.89,Debit Card
100406,2025-04-02 09:35:53,3,14.84,Debit Card
100407,2025-04-02 16:05:31,2,12.97,Debit Card
100408,2025-04-02 12:16:08,4,16.35,Debit Card
100409,2025-04-02 05:16:50,4,23.57,Mobile Pay
100410,2025-04-02 11:32:01,3,19.1,Debit Card
100411,2025-04-02 12:06:39,4,22.1,Credit Card
100412,2025-04-02 09:54:46,2,10.31,Credit Card
100413,2025-04-02 09:59:45,2,9.68,Cash
100414,2025-04-02 04:52:03,3,15.87,Cash
100415,2025-04-02 09:12:49,4,14.69,Mobile Pay
100416,2025-04-02 02:50:12,2,12.87,Cash
100417,2025-04-02 07:57:33,1,7.8,Debit Card
100418,2025-04-02 16:12:13,3,12.56,Mobile Pay
100419,2025-04-02 03:13:28,1,3.53,Mobile Pay
100420,2025-04-02 08:04:14,2,10.97,Debit Card
100421,2025-04-02 12:21:57,1,5.81,Credit Card
100422,2025-04-02 05:02:08,3,18.81,Cash
100423,2025-04-02 14:50:28,3,14.35,Credit Card
100424,2025-04-02 00:26:44,1,7.15,Cash
100425,2025-04-02 21:41:03,3,13.16,Mobile Pay
100426,2025-04-02 14:24:36,2,8.69,Mobile Pay
100427,2025-04-02 13:20:09,3,13.48,Cash
100428,2025-04-02 23:19:03,4,19.78,Debit Card
100429,2025-04-02 14:00:45,3,13.08,Debit Card
100430,2025-04-02 23:14:54,4,17.02,Debit Card
100431,2025-04-02 16:31:49,3,11.78,Mobile Pay
100432,2025-04-02 00:18:00,2,11.75,Debit Card
100433,2025-04-02 05:11:00,2,11.7,Debit Card
100434,2025-04-02 02:16:10,3,11.08,Debit Card
100435,2025-04-02 22:18:14,1,3.86,Credit Card
100436,2025-04-02 12:05:34,2,6.18,Debit Card
100437,2025-04-02 06:20:06,4,16.02,Credit Card
100438,2025-04-02 15:52:44,3,15.63,Credit Card
100439,2025-04-02 23:58:51,3,16.33,Mobile Pay
100440,2025-04-02 18:56:08,1,3.73,Cash
100441,2025-04-02 19:48:49,3,13.62,Mobile Pay
100442,2025-04-02 16:08:23,2,8.76,Cash
100443,2025-04-02 14:51:51,4,19.02,Credit Card
100444,2025-04-02 12:27:02,3,11.69,Debit Card
100445,2025-04-02 18:59:48,4,19.79,Credit Card
100446,2025-04-02 04:08:43,3,14.06,Mobile Pay
100447,2025-04-02 21:44:48,2,8.36,Mobile Pay
100448,2025-04-02 06:20:11,1,3.99,Debit Card
100449,2025-04-02 12:20:18,3,12.57,Debit Card
100450,2025-04-02 23:33:51,1,4.25,Cash
100451,2025-04-02 22:27:13,2,10.23,Debit Card
100452,2025-04-02 03:55:27,3,15.46,Credit Card
100453,2025-04-02 17:30:24,1,5.16,Debit Card
100454,2025-04-02 21:13:11,1,2.71,Debit Card
100455,2025-04-02 17:12:56,4,14.42,Credit Card
100456,2025-04-02 09:56:50,1,7.74,Debit Card
100457,2025-04-02 18:42:26,3,14.47,Credit Card
100458,2025-04-02 04:51:58,1,3.97,Credit Card
100459,2025-04-02 20:41:26,4,22.81,Cash
100460,2025-04-02 11:51:20,2,10.19,Mobile Pay
100461,2025-04-02 00:17:26,2,8.42,Credit Card
100462,2025-04-02 06:25:31,4,18.53,Debit Card
100463,2025-04-02 07:08:11,3,9.84,Mobile Pay
100464,2025-04-02 05:37:31,1,5.02,Debit Card
100465,2025-04-02 23:19:09,3,17.18,Credit Card
100466,2025-04-02 05:47:39,3,14.51,Cash
100467,2025-04-02 16:40:54,1,3.45,Credit Card
100468,2025-04-02 14:34:32,1,5.36,Mobile Pay
100469,2025-04-02 06:43:56,1,4.45,Debit Card
100470,2025-04-02 00:50:14,1,4.13,Credit Card
100471,2025-04-02 15:11:44,2,6.57,Cash
100472,2025-04-02 13:21:02,2,5.8,Cash
100473,2025-04-02 01:21:42,3,16.58,Debit Card
100474,2025-04-02 03:27:10,3,18.38,Cash
100475,2025-04-02 09:57:41,2,8.9,Credit Card
100476,2025-04-02 11:13:14,1,2.97,Mobile Pay
100477,2025-04-02 08:53:34,1,5.32,Credit Card
100478,2025-04-02 18:45:03,1,3.03,Cash
100479,2025-04-02 18:02:30,4,19.99,Cash
100480,2025-04-02 09:44:41,3,17.62,Debit Card
100481,2025-04-02 22:40:44,3,12.03,Cash
100482,2025-04-02 12:01:08,1,5.2,Cash
100483,2025-04-02 12:41:42,2,8.55,Credit Card
100484,2025-04-02 06:18:12,1,6.05,Credit Card
100485,2025-04-02 10:02:58,1,6.41,Debit Card
100486,2025-04-02 10:51:56,1,3.59,Cash
100487,2025-04-02 11:17:11,4,19.81,Debit Card
100488,2025-04-02 09:21:05,4,18.51,Mobile Pay
100489,2025-04-02 05:54:35,3,12.09,Cash
100490,2025-04-02 09:45:52,2,8.46,Mobile Pay
100491,2025-04-02 03:30:09,4,24.12,Debit Card
100492,2025-04-02 16:36:45,1,2.35,Mobile Pay
100493,2025-04-02 19:34:49,4,19.79,Credit Card
100494,2025-04-02 06:00:28,2,13.66,Cash
100495,2025-04-02 14:44:06,1,2.31,Cash
100496,2025-04-02 12:41:02,1,5.1,Debit Card
100497,2025-04-02 23:10:09,4,14.21,Credit Card
100498,2025-04-02 21:35:33,1,3.19,Debit Card
